"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C10","3","4u7","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C3,C4","2","22u","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C5,C9,C13,C15,C17","5","10n","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C6,C7,C8,C11,C16","5","100n","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C12,C14","2","NM","DNP","","","Capacitor_SMD:C_0402_1005Metric","~"
"J1","1","USB4105-GF-A","","","","LoRaWAY-FTP:GCT_USB4105-GF-A",""
"J3","1","ANTENNA","","","","LoRaWAY-FTP:HIROSE_U.FL-R-SMT-1_80_","https://www.hirose.com/product/download/?distributor=digikey&type=specSheet&lang=en&num=U.FL-R-SMT-1(80)"
"J4","1","BOOT_SEL","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"R1,R2,R3,R4,R5,R6,R7,R14,R17,R18","10","0R","","","","Resistor_SMD:R_0402_1005Metric","~"
"R8,R9","2","5k1","","","","Resistor_SMD:R_0402_1005Metric","~"
"R10,R11,R12,R13","4","10k","","","","Resistor_SMD:R_0402_1005Metric","~"
"R15,R16","2","0R","DNP","","","Resistor_SMD:R_0402_1005Metric","~"
"SW1","1","BOOT","","","","LoRaWAY-FTP:SW4_PTS815 SJM 250 SMTR LFS_CNK","https://www.ckswitches.com/media/2728/pts815.pdf"
"SW2","1","QRST","","","","LoRaWAY-FTP:SW4_PTS815 SJM 250 SMTR LFS_CNK","https://www.ckswitches.com/media/2728/pts815.pdf"
"SW3","1","RST","","","","LoRaWAY-FTP:SW4_PTS815 SJM 250 SMTR LFS_CNK","https://www.ckswitches.com/media/2728/pts815.pdf"
"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8","8","TestPoint","","","","TestPoint:TestPoint_Pad_D1.0mm","~"
"U1","1","AP7363","","","","LoRaWAY-FTP:TO252-3L_DIO","https://www.diodes.com/assets/Datasheets/AP7363.pdf"
"U2","1","KG200ZABMD","","","","LoRaWAY-FTP:XCVR_KG200ZABMD",""
"U3","1","USBLC6-2SC6","","","","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf"
"U6","1","ESP32-C3","","","","Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm","https://www.espressif.com/sites/default/files/documentation/esp32-c3_datasheet_en.pdf"
"Y1","1","32.768 kHz","","","","LoRaWAY-FTP:XTAL_ASEK-32.768KHZ-L-R-T","https://abracon.com/Oscillators/ASEK.pdf"
"Y2","1","40 MHz","","","","LoRaWAY-FTP:IC_625L3C040M00000_CTS","https://www.ctscorp.com/Files/DataSheets/Passives/FCP/Clock-Oscillators/clock-ocillators-625-datasheet.pdf"
